source,neighborhood,city,state,transaction,property_type,date,listing_price,suffix,price_ttc,price,size,rooms,bedrooms,bathrooms,parkings,finishing,condition,construction_year,age,air_conditioning,central_heating,swimming_pool,elevator,garden,equipped_kitchen,amenities
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,5/15/2023,979000,TTC,979000,1079348,221,5,4,3,0,haut standing,neuf,,,1,1,1,1,1,1,Climatisation+Cuisine Equipée+Jardin+Alarme+Gardien+Double vitrage+Ascenseur+Parking+Chauffage Central+Piscine+Master Bedroom
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,local commercial,4/10/2025,952000,TTC,952000,952000,276,1,0,0,0,haut standing,neuf,,,1,1,0,0,0,0,Climatisation+Titre Bleu+Gardien+Double vitrage+Chauffage Central+Parking
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,duplex,8/10/2023,950000,TTC,950000,1047375,242,4,3,2,0,haut standing,neuf,,,1,0,0,0,0,0,"Climatisation"
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,duplex,9/6/2023,900000,TTC,900000,992250,253,5,3,2,0,très haut standing,neuf,2023,2,1,1,0,1,1,1,Gardien+Terrasse+Chambre de Service+Ascenseur+Parking+Chauffage Central+Prise lave-vaisselle+Camera+Master Bedroom+Double vitrage+Alarme+Jardin+Fibre optique+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,duplex,8/21/2024,899079,TTC,899079,944033,253,5,3,2,0,très haut standing,neuf,2023,2,1,1,0,1,1,1,Climatisation+Cuisine Equipée+Fibre optique+Jardin+Alarme+Gardien+Master Bedroom+Camera+Prise lave-vaisselle+Chauffage Central+Parking+Ascenseur+Chambre de Service+Terrasse+Double vitrage
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,villa,9/13/2024,890000,TTC,890000,934500,340,4,0,0,0,haut standing,bonne condition,,,0,0,0,0,1,0,Terrasse+Parking+Jardin
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,12/4/2024,890000,TTC,890000,934500,175,2,3,2,1,haut standing,neuf,,,1,1,0,1,0,1,Cuisine Equipée+Terrasse+Ascenseur+Parking+Chauffage Central+Camera+Master Bedroom+Gardien+Fibre optique+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,4/10/2025,865000,TTC,865000,865000,175,4,3,2,2,très haut standing,neuf,2025,0,1,1,0,1,0,1,Terrasse+Ascenseur+Parking+Chauffage Central+Prise lave-vaisselle+Camera+Master Bedroom+Double vitrage+Gardien+Titre Bleu+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,duplex,5/16/2023,861000,TTC,861000,949253,190,4,3,3,0,haut standing,neuf,,,1,1,1,1,0,1,Ascenseur+Parking+Chauffage Central+Piscine+Master Bedroom+Double vitrage+Gardien+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,duplex,2/24/2023,861000,TTC,861000,949253,190,4,3,2,1,très haut standing,neuf,2023,2,1,1,1,1,1,1,"Prise lave-vaisselle+Terrasse+Ascenseur+Parking+Chauffage Central+Piscine+Camera+Double vitrage+Gardien+Titre Bleu+Jardin+Fibre optique+Cuisine Equipée+Climatisation+Master Bedroom"
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,duplex,4/22/2024,860000,TTC,860000,903000,190,5,4,3,1,très haut standing,neuf,2024,1,1,1,0,1,1,1,Terrasse+Ascenseur+Parking+Jardin+Chauffage Central+Prise lave-vaisselle+Camera+Master Bedroom+Double vitrage+Gardien+Alarme+Fibre optique+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,4/24/2024,860000,TTC,860000,903000,160,5,4,2,1,très haut standing,neuf,2024,1,1,1,0,1,0,1,Climatisation+Terrasse+Ascenseur+Parking+Chauffage Central+Prise lave-vaisselle+Master Bedroom+Cuisine Equipée+Fibre optique+Alarme+Gardien+Double vitrage+Camera
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,11/14/2024,860000,TTC,860000,903000,200,4,3,2,2,très haut standing,excellente condition,2022,3,1,1,0,1,0,1,"Climatisation+Cuisine Equipée+Alarme+Gardien+Double vitrage+Camera+Prise lave-vaisselle+Chauffage Central+Parking+Ascenseur+Terrasse"
newkey,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,villa,2/23/2025,860000,TTC,860000,860000,250,,,,,,,,,,,,,,,
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,duplex,11/17/2023,851000,TTC,851000,938228,190,4,3,2,1,haut standing,neuf,2023,2,1,1,1,1,0,1,Gardien+Climatisation+Cuisine Equipée+Double vitrage+Terrasse+Ascenseur+Parking+Chauffage Central+Prise lave-vaisselle+Piscine+Camera+Master Bedroom
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,duplex,11/17/2023,849000,TTC,849000,936023,206,5,4,2,1,haut standing,neuf,2023,2,1,1,0,1,0,1,Chauffage Central+Terrasse+Ascenseur+Parking+Prise lave-vaisselle+Camera+Master Bedroom+Double vitrage+Gardien+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,10/28/2024,840000,TTC,840000,882000,160,5,4,2,1,très haut standing,neuf,2024,1,1,1,0,1,0,1,Climatisation+Cuisine Equipée+Fibre optique+Alarme+Gardien+Double vitrage+Master Bedroom+Camera+Prise lave-vaisselle+Chauffage Central+Parking+Ascenseur+Terrasse
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,duplex,11/17/2023,834000,TTC,834000,919485,190,5,4,2,1,haut standing,neuf,2023,2,1,1,0,1,1,1,Ascenseur+Terrasse+Parking+Chauffage Central+Camera+Master Bedroom+Vue mer+Double vitrage+Gardien+Jardin+Fibre optique+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,local commercial,4/10/2025,815000,TTC,815000,815000,230,1,0,0,1,haut standing,neuf,,,1,1,0,0,0,0,Parking+Chauffage Central+Double vitrage+Gardien+Titre Bleu+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,10/3/2024,796000,TTC,796000,835800,169,4,3,1,1,haut standing,neuf,2024,1,1,1,0,1,0,1,Parking+Climatisation+Cuisine Equipée+Titre Bleu+Double vitrage+Master Bedroom+Camera+Terrasse+Ascenseur+Chauffage Central
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,2/25/2025,785000,TTC,785000,785000,160,4,3,2,2,très haut standing,neuf,2008,17,1,1,0,1,0,1,Terrasse+Ascenseur+Parking+Chauffage Central+Prise lave-vaisselle+Camera+Double vitrage+Gardien+Alarme+Fibre optique+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,11/13/2024,785000,TTC,785000,824250,160,4,3,2,2,très haut standing,neuf,2008,17,1,1,0,1,0,1,Chauffage Central+Terrasse+Ascenseur+Parking+Prise lave-vaisselle+Camera+Gardien+Alarme+Fibre optique+Cuisine Equipée+Climatisation+Double vitrage
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,duplex,3/11/2023,780000,TTC,780000,859950,182,4,3,3,2,très haut standing,excellente condition,,,1,1,0,1,0,1,Gardien+Double vitrage+Master Bedroom+Camera+Prise lave-vaisselle+Chauffage Central+Parking+Ascenseur+Terrasse+Alarme+Fibre optique+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,12/1/2023,770000,TTC,770000,848925,172,4,3,2,1,haut standing,neuf,,,1,1,1,1,1,1,Chambre de Service+Terrasse+Ascenseur+Parking+Chauffage Central+Double Kitchen+Prise lave-vaisselle+Piscine+Camera+Master Bedroom+Double vitrage+Gardien+Alarme+Jardin+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,12/1/2023,760000,TTC,760000,837900,169,4,3,2,2,haut standing,neuf,,,1,1,1,1,1,1,Terrasse+Ascenseur+Parking+Chauffage Central+Double Kitchen+Prise lave-vaisselle+Piscine+Camera+Double vitrage+Gardien+Alarme+Jardin+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan,Ain Zaghouan,Tunis,sale,appartement,10/28/2024,755000,TTC,755000,792750,138,3,2,2,0,très haut standing,neuf,,,1,1,0,0,0,1,Climatisation+Cuisine Equipée+Fibre optique+Alarme+Terrasse+Chauffage Central+Prise lave-vaisselle+Master Bedroom+Vue mer+Double vitrage+Gardien
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,11/29/2023,750000,TTC,750000,826875,134,5,4,2,1,haut standing,bonne condition,2015,10,1,1,0,1,1,1,Terrasse+Ascenseur+Parking+Chauffage Central+Prise lave-vaisselle+Camera+Master Bedroom+Double vitrage+Gardien+Titre Bleu+Jardin+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,12/1/2023,750000,TTC,750000,826875,174,4,3,2,1,haut standing,neuf,,,1,1,1,1,0,1,Ascenseur+Parking+Chauffage Central+Prise lave-vaisselle+Piscine+Camera+Double vitrage+Gardien+Alarme+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,9/11/2024,750000,TTC,750000,787500,172,4,3,2,1,très haut standing,neuf,,,1,1,0,1,0,1,Chauffage Central+Terrasse+Ascenseur+Parking+Prise lave-vaisselle+Master Bedroom+Gardien+Alarme+Fibre optique+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,6/18/2024,750000,TTC,750000,787500,165,4,3,1,1,très haut standing,neuf,2023,2,1,1,0,1,0,1,Ascenseur+Parking+Chauffage Central+Camera+Master Bedroom+Double vitrage+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,2/29/2024,750000,TTC,750000,787500,163,4,3,2,2,haut standing,excellente condition,2016,9,1,1,0,1,0,1,Master Bedroom+Terrasse+Ascenseur+Parking+Chauffage Central+Prise lave-vaisselle+Camera+Double vitrage+Gardien+Titre Bleu+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,local commercial,4/10/2025,750000,TTC,750000,750000,148,1,0,0,2,haut standing,neuf,,,1,1,0,0,0,0,Climatisation+Gardien+Double vitrage+Chauffage Central+Parking
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,11/10/2023,744998,TTC,744998,821360,160,4,3,2,2,très haut standing,neuf,2022,3,1,1,0,1,0,1,Prise lave-vaisselle+Camera+Master Bedroom+Double vitrage+Gardien+Alarme+Titre Bleu+Fibre optique+Cuisine Equipée+Climatisation+Chauffage Central+Terrasse+Ascenseur+Parking
newkey,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,2/23/2025,740000,TTC,740000,740000,150,4,3,1,1,,,,,,,,,,,
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,11/21/2023,739999,TTC,739999,815849,170,1,3,2,2,haut standing,neuf,,,1,1,1,1,1,1,Gardien+Terrasse+Chambre de Service+Ascenseur+Parking+Chauffage Central+Prise lave-vaisselle+Piscine+Camera+Master Bedroom+Double vitrage+Alarme+Jardin+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan,Ain Zaghouan,Tunis,sale,appartement,5/17/2024,720000,TTC,720000,756000,138,3,2,2,0,très haut standing,neuf,,,1,1,0,0,0,1,Climatisation+Terrasse+Chauffage Central+Prise lave-vaisselle+Master Bedroom+Vue mer+Double vitrage+Gardien+Alarme+Fibre optique+Cuisine Equipée
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,2/19/2025,714000,TTC,714000,714000,145,3,2,1,1,très haut standing,neuf,,,1,1,0,1,0,1,Ascenseur+Parking+Chauffage Central+Gardien+Fibre optique+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,3/18/2023,707000,TTC,707000,779468,170,1,2,1,1,haut standing,neuf,2022,3,1,1,0,1,0,1,Climatisation+Terrasse+Ascenseur+Parking+Chauffage Central+Camera+Alarme+Titre Bleu+Fibre optique+Cuisine Equipée
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,7/17/2023,700000,TTC,700000,771750,174,4,3,2,0,très haut standing,neuf,,,1,1,0,1,0,1,Climatisation+Cuisine Equipée+Gardien+Double vitrage+Master Bedroom+Camera+Prise lave-vaisselle+Chauffage Central+Ascenseur+Terrasse
tecnocasa,Ain Zaghouan,Ain Zaghouan,Tunis,sale,appartement,2/23/2025,680000,TTC,680000,680000,152,3,2,1,1,,,,,,,,,,,
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,duplex,11/17/2023,659000,TTC,659000,726548,160,3,2,2,1,haut standing,neuf,2023,2,1,1,0,1,1,1,Terrasse+Ascenseur+Parking+Chauffage Central+Camera+Master Bedroom+Double vitrage+Gardien+Jardin+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,bureau,4/10/2025,656000,TTC,656000,656000,185,4,2,0,0,haut standing,neuf,,,1,1,0,0,0,1,Cuisine Equipée+Climatisation+Chauffage Central+Camera+Gardien+Titre Bleu+Double vitrage
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,10/14/2024,650000,TTC,650000,682500,140,3,2,2,1,très haut standing,neuf,2024,1,1,1,0,0,0,1,Cuisine Equipée+Fibre optique+Climatisation+Alarme+Terrasse+Titre Bleu+Gardien+Double vitrage+Master Bedroom+Camera+Prise lave-vaisselle+Chauffage Central+Parking
tecnocasa,Ain Zaghouan,Ain Zaghouan,Tunis,sale,duplex,2/24/2025,650000,TTC,650000,650000,124,3,2,2,1,,,,,,,,,,,
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,4/16/2024,630000,TTC,630000,661500,170,4,3,2,1,économique,bonne condition,2014,11,1,1,0,1,1,1,"Camera+Gardien+Chauffage Central+Parking+Ascenseur+Alarme+Titre Bleu+Jardin+Cuisine Equipée+Climatisation"
remax,Ain Zaghouan,Ain Zaghouan,Tunis,sale,duplex,2/23/2025,630000,TTC,630000,630000,140,3,2,2,1,,,,,,,,,,,
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,local commercial,12/4/2024,625940,TTC,625940,657237,62,1,1,1,1,très haut standing,neuf,,,0,0,0,0,0,0,Gardien+Double vitrage+Parking
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,local commercial,5/5/2024,625940,TTC,625940,657237,62,1,1,1,1,très haut standing,neuf,,,0,0,0,0,0,0,Gardien+Parking+Double vitrage
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,9/1/2024,620000,TTC,620000,651000,182,5,4,2,1,haut standing,excellente condition,2017,8,1,1,0,1,0,1,"Chambre de Service+Ascenseur+Parking+Chauffage Central+Camera+Master Bedroom+Gardien+Titre Bleu+Cuisine Equipée+Climatisation"
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,3/1/2023,620000,TTC,620000,683550,194,4,3,3,2,haut standing,neuf,,,1,1,0,1,0,1,"Climatisation+Cuisine Equipée+Gardien+Vue montagne+Chauffage Central+Parking+Ascenseur+Terrasse"
remax,Ain Zaghouan,Ain Zaghouan,Tunis,sale,appartement,2/24/2025,620000,TTC,620000,620000,195,4,3,2,1,,,,,,,,,,,
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,3/6/2025,620000,TTC,620000,620000,140,3,2,2,1,très haut standing,neuf,2024,1,1,1,0,0,0,1,Prise lave-vaisselle+Terrasse+Parking+Chauffage Central+Camera+Master Bedroom+Double vitrage+Gardien+Alarme+Titre Bleu+Fibre optique+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,10/3/2024,615000,TTC,615000,645750,103,3,2,1,1,haut standing,neuf,2024,1,1,1,1,1,1,1,Cuisine Equipée+Climatisation+Titre Bleu+Ascenseur+Jardin+Alarme+Gardien+Double vitrage+Master Bedroom+Camera+Piscine+Chauffage Central+Parking+Terrasse
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,3/11/2025,600000,TTC,600000,600000,150,4,3,2,1,haut standing,excellente condition,,,1,1,0,1,0,1,Cuisine Equipée+Climatisation+Alarme+Gardien+Double vitrage+Master Bedroom+Camera+Prise lave-vaisselle+Chauffage Central+Parking+Ascenseur+Chambre de Service+Terrasse+Fibre optique
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,12/3/2024,600000,TTC,600000,630000,140,3,2,1,1,très haut standing,neuf,,,1,1,0,1,0,1,Fibre optique+Climatisation+Cuisine Equipée+Camera+Alarme+Gardien+Double vitrage+Terrasse+Ascenseur+Parking+Chauffage Central
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,10/14/2024,600000,TTC,600000,630000,140,3,2,2,1,très haut standing,neuf,2024,1,1,1,0,0,0,1,Double vitrage+Terrasse+Master Bedroom+Camera+Prise lave-vaisselle+Chauffage Central+Parking+Gardien+Alarme+Titre Bleu+Fibre optique+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,4/21/2025,585000,TTC,585000,585000,139,4,3,2,1,haut standing,excellente condition,,,1,1,0,1,1,1,Ascenseur+Parking+Chauffage Central+Prise lave-vaisselle+Camera+Double vitrage+Gardien+Titre Bleu+Jardin+Fibre optique+Climatisation+Cuisine Equipée
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,1/17/2025,585000,TTC,585000,585000,139,4,3,2,1,haut standing,excellente condition,,,1,1,0,1,1,1,Climatisation+Cuisine Equipée+Fibre optique+Jardin+Titre Bleu+Gardien+Double vitrage+Camera+Prise lave-vaisselle+Chauffage Central+Parking+Ascenseur
tecnocasa,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,2/23/2025,585000,TTC,585000,585000,139,4,3,2,1,,,,,,,,,,,
tecnocasa,Ain Zaghouan,Ain Zaghouan,Tunis,sale,duplex,2/24/2025,580000,TTC,580000,580000,218,6,4,1,0,,,,,,,,,,,
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,10/21/2024,580000,TTC,580000,609000,144,5,4,3,1,moyen standing,bonne condition,2014,11,1,1,0,1,0,1,Parking+Ascenseur+Chauffage Central+Vue montagne+Prise lave-vaisselle+Master Bedroom+Gardien+Fibre optique+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,11/13/2023,580000,TTC,580000,639450,144,5,4,3,1,moyen standing,bonne condition,2014,11,1,1,0,1,0,1,Parking+Ascenseur+Chauffage Central+Vue montagne+Prise lave-vaisselle+Master Bedroom+Gardien+Fibre optique+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan,Ain Zaghouan,Tunis,sale,appartement,10/28/2024,570000,TTC,570000,598500,136,3,2,2,1,très haut standing,neuf,2023,2,1,1,0,1,0,1,Climatisation+Ascenseur+Chauffage Central+Prise lave-vaisselle+Master Bedroom+Double vitrage+Gardien+Alarme+Titre Bleu+Fibre optique+Cuisine Equipée
remax,Ain Zaghouan,Ain Zaghouan,Tunis,sale,appartement,2/24/2025,550200,TTC,550200,550200,131,3,2,2,1,,,,,,,,,,,
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,10/21/2024,550000,TTC,550000,577500,150,4,3,2,1,social,à rafraichir,1999,26,1,1,0,1,0,1,Terrasse+Ascenseur+Parking+Chauffage Central+Double vitrage+Gardien+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,11/14/2023,550000,TTC,550000,606375,150,4,3,2,1,social,à rafraichir,1999,26,1,1,0,1,0,1,Climatisation+Cuisine Equipée+Gardien+Double vitrage+Terrasse+Ascenseur+Parking+Chauffage Central
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,6/24/2024,550000,TTC,550000,577500,143,3,2,1,1,haut standing,excellente condition,2018,7,1,1,0,1,0,1,Terrasse+Chauffage Central+Ascenseur+Parking+Prise lave-vaisselle+Camera+Master Bedroom+Double vitrage+Gardien+Titre Bleu+Fibre optique+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,3/4/2025,550000,TTC,550000,550000,130,3,2,2,0,très haut standing,neuf,2024,1,1,1,0,1,0,1,Climatisation+Cuisine Equipée+Fibre optique+Alarme+Gardien+Double vitrage+Master Bedroom+Camera+Prise lave-vaisselle+Chauffage Central+Parking+Ascenseur+Terrasse
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,11/16/2024,550000,TTC,550000,577500,130,3,2,2,0,très haut standing,neuf,2024,1,1,1,0,1,0,1,Fibre optique+Climatisation+Terrasse+Ascenseur+Parking+Chauffage Central+Prise lave-vaisselle+Master Bedroom+Cuisine Equipée+Alarme+Gardien+Double vitrage+Camera
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,5/16/2023,549000,TTC,549000,605273,136,3,2,2,0,haut standing,neuf,,,1,1,0,1,0,1,Double vitrage+Climatisation+Ascenseur+Parking+Chauffage Central+Cuisine Equipée
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,1/14/2025,530000,TTC,530000,530000,162,4,3,2,1,haut standing,excellente condition,,,1,1,0,1,0,1,Gardien+Ascenseur+Parking+Chauffage Central+Prise lave-vaisselle+Master Bedroom+Double vitrage+Fibre optique+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,10/14/2024,530000,TTC,530000,556500,162,4,3,2,1,haut standing,excellente condition,,,1,1,0,1,0,1,Prise lave-vaisselle+Ascenseur+Parking+Chauffage Central+Master Bedroom+Double vitrage+Gardien+Fibre optique+Cuisine Equipée+Climatisation
remax,Ain Zaghouan,Ain Zaghouan,Tunis,sale,appartement,2/24/2025,530000,TTC,530000,530000,160,4,3,2,1,,,,,,,,,,,
century 21,Ain Zaghouan,Ain Zaghouan,Tunis,sale,appartement,7/22/2024,520000,TTC,520000,546000,180,4,3,2,2,haut standing,excellente condition,,,1,1,0,1,0,1,Gardien+Cuisine Equipée+Climatisation+Terrasse+Ascenseur+Parking+Chauffage Central+Camera+Master Bedroom+Double vitrage
